fasangasse;60200300;16.3850282;48.1884101
heiligenstadt s+u zwölfter februar platz;60200301;16.3627141;48.2489283
diesterweggasse;60200302;16.3063358;48.1937579
wattmanng. elisabethallee;60200303;16.2952147;48.1764668
döblinger friedhof felix dahn straße;60200304;16.3260808;48.2400325
felmayergasse;60200305;16.4320371;48.2719532
fendigasse;60200306;16.3557881;48.1839362
sonnleithnergasse;60200307;16.3630105;48.1789827
gspöttgraben;60200308;16.314753;48.255783
fernsprechamt heiligenstadt;60200309;16.3597766;48.2540784
feuerwache am steinhof;60200311;16.2780569;48.2153352
feuerwache grinzing;60200312;16.3324948;48.2615305
fickeysstraße;60200314;16.4237097;48.1670432
filmteichstraße;60200315;16.3968501;48.1526258
finsterbuschstraße nord;60200316;16.4978297;48.1734596
billgasse;60200317;16.4833578;48.2244388
löschniggasse;60200318;16.4805371;48.222763
1. haidequerstraße mitte;60200319;16.4291984;48.1824927
dammhaufengasse;60200320;16.4470749;48.195752
pfarrgasse traviatagasse;60200321;16.3431308;48.1424845
zimbagasse;60200322;16.2190735;48.2061821
auhof;60200323;16.2182021;48.2075651
1. haidequerstraße süd;60200324;16.428363;48.1812349
giefinggasse;60200325;16.4259016;48.26824
kaltenleutgeber straße 16 141;60200327;16.2292604;48.1273407
fischergrund;60200329;16.4409214;48.2160834
fichtnergasse;60200330;16.2888816;48.1871225
florian geyer gasse;60200331;16.3918015;48.1569347
florian hedorfer straße;60200332;16.4312555;48.1656172
florianigasse;60200333;16.345682;48.2127912
floridsdorf;60200334;16.4002996;48.2567938
joseph lister gasse;60200335;16.2695318;48.175143
flotowgasse;60200336;16.3383608;48.2405889
flugfeldstraße;60200337;16.5043335;48.2156584
flötzersteig;60200338;16.2788564;48.2038353
flötzersteigbrücke;60200339;16.290777;48.2071879
mauerbachstraße baumschule;60200340;16.2178967;48.2181245
forsthausgasse;60200341;16.375021;48.2452493
frachtenbahnhof lobau hafen;60200342;16.4753449;48.1878891
franz asenbauer gasse;60200343;16.2712566;48.1547414
klinik favoriten;60200344;16.348889;48.1749153
franz josefs bahnhof;60200345;16.361151;48.2259888
klinik landstraße;60200346;16.3908583;48.1966442
franz pletersky weg;60200347;16.4507131;48.213288
franzensbrücke;60200348;16.3915231;48.2138148
franzosenweg;60200349;16.3827914;48.1401527
forchheimergasse;60200350;16.3078091;48.1409559
freesienweg;60200351;16.2428968;48.2044819
freiheitsplatz;60200352;16.4162447;48.3014339
freihofsiedlung;60200353;16.4502729;48.2425273
kraftwerk freudenau;60200354;16.4791357;48.1744241
freyenthurmgasse;60200355;16.2567578;48.2054877
friedensbrücke;60200357;16.364879;48.2270301
baumgarten;60200358;16.2714902;48.1990633
friedensgasse;60200359;16.4024645;48.2032545
mariabrunn kirche;60200360;16.2310031;48.2077627
friedjunggasse;60200361;16.4190385;48.16503
obkirchergasse;60200362;16.3419989;48.2457698
friedrich engels platz;60200363;16.3797282;48.2442742
friedstraße;60200364;16.4046385;48.2454408
